epoch,step,train_loss
0,49,0.42068079113960266
0,99,0.3603515625
0,149,0.306922972202301
0,199,0.27227985858917236
0,249,0.2474062740802765
0,299,0.215534508228302
0,349,0.19458138942718506
0,399,0.18295620381832123
0,449,0.17082642018795013
0,499,0.9636365175247192
0,549,0.1441657394170761
0,599,0.13347673416137695
0,649,0.9850656986236572
0,699,2.173799991607666
0,749,0.1160133108496666
0,799,0.10529458522796631
0,849,0.10100460052490234
0,899,0.09651780128479004
0,949,0.14924153685569763
0,999,0.09157256782054901
0,1049,0.10989539325237274
0,1099,0.08653824776411057
0,1149,0.08188145607709885
0,1199,0.07813788950443268
0,1249,0.0744355320930481
0,1299,0.07710117101669312
0,1349,0.06924446672201157
0,1399,1.029630422592163
0,1449,0.06303711235523224
0,1499,0.06225615739822388
0,1549,0.05986277386546135
0,1599,0.06325902044773102
0,1649,0.05462731420993805
0,1699,0.05436155945062637
0,1749,0.05359010025858879
0,1799,0.05775153264403343
0,1849,0.04659493640065193
